"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 02 01:31:21 GMT 2025","Thu Jan 02 01:31:21 GMT 2025","1","","de.lenneflow.lenneflowterraformserver.util.ValidatorTest","","de.lenneflow.lenneflowterraformserver.util.ValidatorTest","","validateClusterDoesNotThrowExceptionWhenValid()",""
"passed","Thu Jan 02 01:31:21 GMT 2025","Thu Jan 02 01:31:21 GMT 2025","3","","de.lenneflow.lenneflowterraformserver.repository.CredentialRepositoryTest","","de.lenneflow.lenneflowterraformserver.repository.CredentialRepositoryTest","","deleteCredentialSuccessfully()",""
"passed","Thu Jan 02 01:31:21 GMT 2025","Thu Jan 02 01:31:21 GMT 2025","7","","de.lenneflow.lenneflowterraformserver.util.ValidatorTest","","de.lenneflow.lenneflowterraformserver.util.ValidatorTest","","validateNodeGroupThrowsExceptionWhenClusterNameIsNull()",""
"passed","Thu Jan 02 01:31:21 GMT 2025","Thu Jan 02 01:31:21 GMT 2025","4","","de.lenneflow.lenneflowterraformserver.util.UtilTest","","de.lenneflow.lenneflowterraformserver.util.UtilTest","","runCmdCommandReturnsExitCode()",""
"passed","Thu Jan 02 01:31:21 GMT 2025","Thu Jan 02 01:31:21 GMT 2025","0","","de.lenneflow.lenneflowterraformserver.util.UtilTest","","de.lenneflow.lenneflowterraformserver.util.UtilTest","","createTfvarsVariablesMapCreatesCorrectMap()",""
"passed","Thu Jan 02 01:31:21 GMT 2025","Thu Jan 02 01:31:21 GMT 2025","2","","de.lenneflow.lenneflowterraformserver.repository.CredentialRepositoryTest","","de.lenneflow.lenneflowterraformserver.repository.CredentialRepositoryTest","","findByUidReturnsCredentialWhenExists()",""
"passed","Thu Jan 02 01:31:20 GMT 2025","Thu Jan 02 01:31:20 GMT 2025","6","","de.lenneflow.lenneflowterraformserver.controller.ServerControllerTest","","de.lenneflow.lenneflowterraformserver.controller.ServerControllerTest","","pingReturnsWorkingMessageWhenTerraformIsInstalled()",""
"passed","Thu Jan 02 01:31:20 GMT 2025","Thu Jan 02 01:31:20 GMT 2025","29","","de.lenneflow.lenneflowterraformserver.controller.ServerControllerTest","","de.lenneflow.lenneflowterraformserver.controller.ServerControllerTest","","getConnectionTokenDeletesExpiredToken()",""
"passed","Thu Jan 02 01:31:20 GMT 2025","Thu Jan 02 01:31:20 GMT 2025","12","","de.lenneflow.lenneflowterraformserver.controller.ServerControllerTest","","de.lenneflow.lenneflowterraformserver.controller.ServerControllerTest","","createOrUpdateClusterStartsNewThread()",""
"passed","Thu Jan 02 01:31:21 GMT 2025","Thu Jan 02 01:31:21 GMT 2025","3","","de.lenneflow.lenneflowterraformserver.repository.CredentialRepositoryTest","","de.lenneflow.lenneflowterraformserver.repository.CredentialRepositoryTest","","findByUidReturnsNullWhenCredentialDoesNotExist()",""
"passed","Thu Jan 02 01:31:20 GMT 2025","Thu Jan 02 01:31:20 GMT 2025","6","","de.lenneflow.lenneflowterraformserver.controller.ServerControllerTest","","de.lenneflow.lenneflowterraformserver.controller.ServerControllerTest","","getConnectionTokenStartsNewThread()",""
"passed","Thu Jan 02 01:31:20 GMT 2025","Thu Jan 02 01:31:20 GMT 2025","5","","de.lenneflow.lenneflowterraformserver.controller.ServerControllerTest","","de.lenneflow.lenneflowterraformserver.controller.ServerControllerTest","","createOrUpdateClusterThrowsExceptionWhenClusterAlreadyExists()",""
